Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team,Country,Season
MK Pandey,12,11,3,248,52,31.00,183,135.51,0,2,1,17,9,KKR,IND,2016
AD Russell,12,8,1,188,39*,26.85,114,164.91,0,0,0,10,15,KKR,WI,2016
RV Uthappa,15,15,0,394,72,26.26,289,136.33,0,3,1,45,8,KKR,IND,2016
SA Yadav,15,11,4,182,60,26.00,143,127.27,0,1,0,18,5,KKR,IND,2016
CA Lynn,2,2,1,25,15,25.00,22,113.63,0,0,0,0,1,KKR,AUS,2016
Shakib Al Hasan,10,7,2,114,66*,22.80,106,107.54,0,1,0,7,5,KKR,BD,2016
C Munro,4,3,0,30,16,10.00,30,100.00,0,0,0,3,0,KKR,NZ,2016
PP Chawla,12,3,0,27,11,9.00,26,103.84,0,0,0,4,0,KKR,IND,2016
UT Yadav,9,2,1,9,7*,9.00,5,180.00,0,0,0,0,1,KKR,IND,2016
R Sathish,4,3,0,24,10,8.00,24,100.00,0,0,0,1,1,KKR,IND,2016
SP Narine,11,4,3,7,4,7.00,13,53.84,0,0,0,0,0,KKR,WI,2016
JO Holder,4,4,0,22,13,5.50,19,115.78,0,0,1,2,1,KKR,WI,2016
M Morkel,10,2,2,1,1*,-,1,100.00,0,0,0,0,0,KKR,RSA,2016
GB Hogg,5,1,1,0,0*,-,0,-,0,0,0,0,0,KKR,AUS,2016
JW Hastings,2,-,-,-,-,-,-,-,-,-,-,-,-,KKR,AUS,2016
Kuldeep Yadav,3,-,-,-,-,-,-,-,-,-,-,-,-,KKR,IND,2016
AS Rajpoot,4,-,-,-,-,-,-,-,-,-,-,-,-,KKR,IND,2016
JD Unadkat,1,-,-,-,-,-,-,-,-,-,-,-,-,KKR,IND,2016
RG Sharma,14,14,3,489,85*,44.45,368,132.88,0,5,1,49,16,MI,IND,2016
KH Pandya,12,9,3,237,86,39.50,124,191.12,0,1,0,22,13,MI,IND,2016
N Rana,4,3,0,104,70,34.66,75,138.66,0,1,0,7,8,MI,IND,2016
Harbhajan Singh,14,7,4,92,45*,30.66,84,109.52,0,0,1,11,2,MI,IND,2016
AT Rayudu,13,12,1,334,65,30.36,278,120.14,0,2,1,28,12,MI,IND,2016
KA Pollard,13,12,4,207,51*,25.87,144,143.75,0,1,0,11,16,MI,WI,2016
JC Buttler,14,14,3,255,41,23.18,184,138.58,0,0,1,23,11,MI,ENG,2016
MJ Guptill,3,3,0,57,48,19.00,55,103.63,0,0,0,3,3,MI,NZ,2016
PA Patel,10,10,0,177,81,17.70,152,116.44,0,1,1,23,4,MI,IND,2016
R Vinay Kumar,3,2,1,13,12,13.00,12,108.33,0,0,0,0,1,MI,IND,2016
MJ McClenaghan,14,5,2,34,20,11.33,23,147.82,0,0,0,2,3,MI,NZ,2016
TG Southee,11,4,1,30,25,10.00,19,157.89,0,0,0,1,2,MI,NZ,2016
JJ Bumrah,14,2,1,8,6,8.00,11,72.72,0,0,0,1,0,MI,IND,2016
LMP Simmons,1,1,0,8,8,8.00,8,100.00,0,0,0,0,1,MI,WI,2016
HH Pandya,11,9,2,44,9,6.28,63,69.84,0,0,0,4,0,MI,IND,2016
S Gopal,1,1,0,2,2,2.00,16,12.50,0,0,0,0,0,MI,IND,2016
UBT Chand,1,1,0,0,0,0.00,4,0.00,0,0,1,0,0,MI,IND,2016
J Suchith,1,-,-,-,-,-,-,-,-,-,-,-,-,MI,IND,2016
SPD Smith,8,7,1,270,101,45.00,176,153.40,1,0,0,27,8,RPS,AUS,2016
AM Rahane,14,14,3,480,74,43.63,379,126.64,0,6,2,54,9,RPS,IND,2016
MS Dhoni,14,12,5,284,64*,40.57,210,135.23,0,1,0,18,14,RPS,IND,2016
KP Pietersen,4,4,2,73,37,36.50,61,119.67,0,0,0,4,3,RPS,ENG,2016
F du Plessis,6,6,0,206,69,34.33,162,127.16,0,2,0,17,9,RPS,RSA,2016
R Bhatia,10,6,5,34,21,34.00,20,170.00,0,0,0,1,2,RPS,IND,2016
SS Tiwary,10,8,1,170,57,24.28,141,120.56,0,2,0,17,4,RPS,IND,2016
NLTC Perera,12,10,3,150,34,21.42,93,161.29,0,0,0,7,11,RPS,SL,2016
UT Khawaja,6,6,0,127,30,21.16,100,127.00,0,0,0,14,3,RPS,AUS,2016
GJ Bailey,6,5,1,84,34,21.00,98,85.71,0,0,1,9,2,RPS,AUS,2016
R Ashwin,14,6,4,41,29,20.50,38,107.89,0,0,1,3,1,RPS,IND,2016
JA Morkel,2,1,0,16,16,16.00,9,177.77,0,0,0,0,2,RPS,RSA,2016
MR Marsh,3,1,0,7,7,7.00,11,63.63,0,0,0,0,0,RPS,AUS,2016
PSP Handscomb,2,1,0,6,6,6.00,12,50.00,0,0,0,0,0,RPS,AUS,2016
IK Pathan,4,3,0,11,7,3.66,13,84.61,0,0,0,0,0,RPS,IND,2016
M Ashwin,10,1,0,0,0,0.00,1,0.00,0,0,1,0,0,RPS,IND,2016
A Zampa,5,1,0,0,0,0.00,1,0.00,0,0,1,0,0,RPS,AUS,2016
Ankit Sharma,3,1,1,3,3*,-,3,100.00,0,0,0,0,0,RPS,IND,2016
I Sharma,4,1,1,0,0*,-,0,-,0,0,0,0,0,RPS,IND,2016
SM Boland,2,-,-,-,-,-,-,-,-,-,-,-,-,RPS,AUS,2016
DL Chahar,2,-,-,-,-,-,-,-,-,-,-,-,-,RPS,IND,2016
AB Dinda,9,-,-,-,-,-,-,-,-,-,-,-,-,RPS,IND,2016
RP Singh,4,-,-,-,-,-,-,-,-,-,-,-,-,RPS,IND,2016
V Kohli,16,16,4,973,113,81.08,640,152.03,4,7,1,83,38,RCB,IND,2016
AB de Villiers,16,16,3,687,129*,52.84,407,168.79,1,6,1,57,37,RCB,RSA,2016
KL Rahul,14,12,3,397,68*,44.11,271,146.49,0,4,1,37,16,RCB,IND,2016
SN Khan,5,4,2,66,35*,33.00,31,212.90,0,0,0,7,4,RCB,IND,2016
Sachin Baby,11,6,2,119,33,29.75,79,150.63,0,0,1,9,5,RCB,IND,2016
TM Head,3,3,1,54,37,27.00,40,135.00,0,0,0,3,2,RCB,AUS,2016
CH Gayle,10,10,0,227,76,22.70,150,151.33,0,2,1,17,21,RCB,WI,2016
STR Binny,14,6,2,63,21,15.75,39,161.53,0,0,0,5,4,RCB,IND,2016
SR Watson,16,15,2,179,36,13.76,134,133.58,0,0,1,14,12,RCB,AUS,2016
Parvez Rasool,4,1,0,10,10,10.00,9,111.11,0,0,0,1,0,RCB,IND,2016
CJ Jordan,9,1,0,3,3,3.00,4,75.00,0,0,0,0,0,RCB,ENG,2016
